,title,label
221,RxRingBuffer Concurrent Unsubscribe Non-ThreadSafe,BUG
222,Race with CachedThreadScheduler Eviction,BUG
223,Concat Breaks with Double onCompleted,BUG
224,Synchronous OnSubscribe Exception Skips Operators,BUG
225,Multiple Zipped Observers never complete,BUG
226,"""Interrupted while waiting for subscription to complete."" in 1.0.0-rc8",BUG
227,Observable#first causes retryWhen to trigger retry without an exception,BUG
228,SynchronizedQueue.clone may cause ClassCastException,BUG
229,delay on a range emits two at a time rather than everything at once,BUG
230,combineLatest back-pressure bug,BUG
231,TrampolineScheduler NullPointerException,BUG
232,Unknown Hang in Netflix API with 0.20.x,BUG
233,OperatorDoOnEach breakes latter subscribtions after error wrapping lift,BUG
234,RefCount unsubscribe never happens for infinite synchronous source,BUG
235,OnErrorNotImplementedException disrupts Subject event delivery ,BUG
236,ScheduledAction Swallows Errors,BUG
237,Occasionally hanging sequence of takeUntil()+window()+flatMap(),BUG
238,NPE in OnSubscribeFromIterable,BUG
239,Observable.compose Generics,BUG
240,Exception not thrown from interval with blank onError,BUG
241,"TestObserver always delegates to EMPTY, throws exception",BUG
242,Repeat/Concat/Zip Backpressure,BUG
243,Window Unsubscribes Early?,BUG
244,Non-deterministic Hang - ExceptionsTest?,BUG
245,"Bug in Mpsc queue, should compare head to tail, not itself in peekNode",BUG
246,OperatorFilter failure,BUG
247,Backpressure: parallel,BUG
248,BlockingOperatorToIterator hanging when exception is thrown from OnSubscribe.call(..),BUG
249,RxRingBuffer test fails,BUG
250,rx.lang.scala.Observable: Misleading deprecation notice.,BUG
251,NPE in OperatorObserveOn RxJava 0.19,BUG
252,"RxScala: buffer(timespan,timeshift) raises IllegalArgumentException for timeshift < 1 second",BUG
253,RxScala: Publish,BUG
254,Missing javadoc comments,BUG
255,Deadlock with recursive chain,BUG
256,RxScala mergeMap and concatMap bindings missing,BUG
257,Merge delay error doesn't synchronize onNext calls,BUG
258,Deadlock in 0.15.x between MultipleAssignmentSubscription and CompositeSubscription,BUG
259,buffer() using TimeBasedChunks results in duplicates being sent onNext,BUG
260,buffer() using TimeAndSizeBasedChunks incorrectly forces thread into interrupted state,BUG
261,Flaky unit tests,BUG
262,Operation mergeDelayError(Observable<Observable<T>>) does not delay onError of parent observable,BUG
263,Finally Happens after onCompleted,BUG
264,Observable.takeUntil wrong documentation,DOCUMENTATION
265,Using withLatestFrom completes without values if other publisher is delayed,DOCUMENTATION
266,2.x  Is this a typo in the Completable documentation ?,DOCUMENTATION
267,ScheduledRunnable.wasScheduled ?,DOCUMENTATION
268,onErrorResumeWith() javadoc has onErrorResumeNext() marble diagram,DOCUMENTATION
269,3.0.4 groupBy operator seems broken after the first grouping,DOCUMENTATION
270,3.x: Observable.amb marble diagram is a bit incorrect (or maybe it's a bug?),DOCUMENTATION
271,"3.x: Add ""error handling"" section to Observable.blockingFirst",DOCUMENTATION
272,3.x: Marbles should have a proper background,DOCUMENTATION
273,3.x: Create a tool that scans the java sources and checks marble dimensions,DOCUMENTATION
274,3.x: [Wiki] Enhance Operator-Matrix generation with anchors and explanations,DOCUMENTATION
275,3.x: Replace the verbose @return entires with simpler ones,DOCUMENTATION
276,3.x: Ensure delegating operator overloads list all relevant @throws too in their Javadocs,DOCUMENTATION
277,"3.x: Reword javadocs saying the operator ""modifies"" the current source",DOCUMENTATION
278,"3.x: Change ""the source Publisher"" in Flowable javadocs to ""the current Flowable""",DOCUMENTATION
279,3.x: Add Flowable.blockingForEach overload with configurable prefetch,ENHANCEMENT
280,use javadoc.io for javadoc hosting?,DOCUMENTATION
281,3.x: update javadoc for observeOn to mention its eagerness,DOCUMENTATION
282,2.x: Backport marble fixes to Single,DOCUMENTATION
283,"3.x: Fix Schedulers.from(Executor, boolean) version tag",DOCUMENTATION
284,What's Different in 3.x (tracking issue),DOCUMENTATION
285,Maybe.count doc typo,DOCUMENTATION
286,Example in readme gives me compilation error,DOCUMENTATION
287,Image on comment make ide pretty slow,DOCUMENTATION
288,Wiki improve: Observable.fromArray(),DOCUMENTATION
289,Error in documentation of Observable .retry(n) ,DOCUMENTATION
290,2.x: ObservableEmitter/FlowableEmitter Javadoc Improvement,DOCUMENTATION
291,Outdated java example in wiki ,DOCUMENTATION
292,"""Problem Solving Examples in RxJava"" not written in Java",DOCUMENTATION
293,Javadoc: Flowable::zipWith image is displayed incorrectly,DOCUMENTATION
294,Javadoc: Explain explicitly that the Emitter methods should be called non-concurrently with generate,DOCUMENTATION
295,Javadoc: explain that distinctUntilChanged requires non-mutating data to work as expected,DOCUMENTATION
296,Javadoc: explain Flowable.groupBy should be consumed on all of its outputs,DOCUMENTATION
297,Javadoc: expand debounce() docs to explain possible interruption,DOCUMENTATION
298,flattenAsFlowable wrong wording in Javadocs,DOCUMENTATION
299,What's-different docs reference non-existent class: io.reactivex.functions.Functions,DOCUMENTATION
300,Wiki: Add generate() examples to Creating-Observables.md,DOCUMENTATION
301,toFuture incorrect diagram/description,DOCUMENTATION
302,Fix terminology of cancel/dispose in the JavaDocs,DOCUMENTATION
303,Flowable.reduce(BiFunction) does not signal NoSuchElementException,DOCUMENTATION
304,"Add an ""Error handling"" JavaDocs section to fromCallable & co",DOCUMENTATION
305,2.x: The RxJavaPlugins JavaDocs HTML should be auto-cleaned up,DOCUMENTATION
306,Update wiki to reflect 3.x (tracking issue),DOCUMENTATION
307,README.md: update sentence about Flowable.parallel() after release 2.2,DOCUMENTATION
308,[Documentation] Can you please indicate RxJava 1 or 2,DOCUMENTATION
309,2.x: Observable.throttleWithTimeout is confusing,DOCUMENTATION
310,2.x: Odd JavaDoc formatting,DOCUMENTATION
311,2.x: Update Wiki to the version 2 vocabulary and feature set,DOCUMENTATION
312,2.x: Wiki footer,DOCUMENTATION
313,Canceling an Observable in RxJava 2.x,DOCUMENTATION
314,2.x: Javadoc syntax error,DOCUMENTATION
315,2.x: buffer documentation incorrect for onError behaviour,DOCUMENTATION
316,Fix RxJavaHooks version in Plugins wiki page,DOCUMENTATION
317,replay(1) retains second-to-last emitted item,DOCUMENTATION
318,3.x: Flowable missing or incorrect marbles (tracking issue),DOCUMENTATION
319,3.x: Maybe incorrect or missing marbles (tracking issue),DOCUMENTATION
320,2.x: Completable missing or incorrect marbles (tracking issue),DOCUMENTATION
321,3.x: Single incorrect or missing images (tracking issue),DOCUMENTATION
322,Documentation error?,DOCUMENTATION
323,"incorrect SBT info in ""Getting Started""",DOCUMENTATION
324,2.x: wiki has some broken links,DOCUMENTATION
325,Maybe.subscribeWith() has incorrect documentation,DOCUMENTATION
326,2.x: Javadoc errors,DOCUMENTATION
327,2.x: wiki writing operators 2.0,DOCUMENTATION
328,"2.x: Documentation error in Observable for ""any"" operator",DOCUMENTATION
329,RxJavaHooks installation instructions?,DOCUMENTATION
330,Suggest Maybe#toSingle in Maybe#defaultIfEmpty documentation,DOCUMENTATION
331,"Remove (or change wording) reference to ""Akka Futures"" which are gone since some years",DOCUMENTATION
332,"2.x: wrong return type in doc for F.reduce(seed, ...) and O.reduce(seed, ...)",DOCUMENTATION
333,2.x: Observable missing or incorrect images (tracking issue),DOCUMENTATION
334,2.x: minor mistakes to be fixed,BUG
335,Consider adding Canonical URLs for Javadocs,DOCUMENTATION
336,2.x concatMapEager should accept 0 for prefetch,DOCUMENTATION
337,2.x: improve documentation of the default consumer types,DOCUMENTATION
338,2.x: improve io.reactivex.schedulers.Schedulers documentation,DOCUMENTATION
339,2.x: incorrect images,DOCUMENTATION
340,2.x Flowable.flatMap maxConcurrency should be unbounded unless it is restricted,DOCUMENTATION
341,[wiki] incorrect link page for switchMap in Transforming-Observables.md,DOCUMENTATION
342,Link error for Wiki,DOCUMENTATION
343,Documetation points to some nonexistent marble diagrams ,DOCUMENTATION
344,Update ReadMe example of parallel operations,DOCUMENTATION
345,Declare subscription order for amb and ambWith in documentation.,DOCUMENTATION
346,2.x: README.md quick examples,DOCUMENTATION
347,"2.x: mention the absence of TestSubject in ""What's different in 2.0""",DOCUMENTATION
348,"1.x and 2.x Javadoc for Completable's retryWhen differs from Observable, Single and Docs",DOCUMENTATION
349,Broken link in https://github.com/ReactiveX/RxJava/wiki/Additional-Reading,DOCUMENTATION
350,Why is the repeat method categorized as a creating operator? ,DOCUMENTATION
351,doOnCancel method not found,DOCUMENTATION
352,"gh-pages: fromAsync() in ""Creating Observables"" wiki page",DOCUMENTATION
353,"""404 not found"" on picture ""Observable.create(syncOnSubscribe)""",DOCUMENTATION
354,Alternative to RxJavaErrorHandler,DOCUMENTATION
355,Javadoc mistakes to look for,DOCUMENTATION
356,1.x: Single's subscribe(Observable) and subscribe(Subscription) receive onCompleted,DOCUMENTATION
357,Wiki url of contains and exists has same link,DOCUMENTATION
358,Add fromAsync() to the Creating Observables wiki,DOCUMENTATION
359,add documentation for AsyncEmitter.BackpressureMode,DOCUMENTATION
360,What's different in 2.0 from user|developer perspective,DOCUMENTATION
361,Official javadoc access for 1.x and 2.x,DOCUMENTATION
362,"The picture and text explanation with method named takeLast(int count, long time, TimeUnit unit) is error?",DOCUMENTATION
363,takeLast method does not act as the marble diagram in JavaDoc described ,DOCUMENTATION
364,JavaDoc needs update after last release,DOCUMENTATION
365,doOnUnsubscribe behaviour does not align with documentation,DOCUMENTATION
366,typo in /wiki/Error-Handling,DOCUMENTATION
367,Single#retryWhen allows Observable#complete() and throws,BUG
368,doOnEach marble diagram incorrect,DOCUMENTATION
369,Confused about documentation of replay(),DOCUMENTATION
370,Release 1.1.1 proposed content,DOCUMENTATION
371,"Subscribers.create(Action1 onNext) doesn't actually ""ignore onError"" as documented",DOCUMENTATION
372,Observable.repeat(final long count) marble diagram is misleading,DOCUMENTATION
373,ThrottleFirst - Discrepancy between implementation & marble diagrams,DOCUMENTATION
374,Improve README.MD by adding links to the source files of @Beta and @Experimental,DOCUMENTATION
375,"rx.Observable.takeLast(long, TimeUnit) wrong order in emitted value in marble diagram",DOCUMENTATION
376,rx.Observable.switchIfEmpty(Observable<? extends T>) need a marble diagram,DOCUMENTATION
377,Clarify behaviour in JavaDoc of switchOnNext() with respect to completions,DOCUMENTATION
378,OperatorBufferWithTime error,DOCUMENTATION
379,Deploy 1.0.16 Javadocs to http://reactivex.io/RxJava/javadoc/,DOCUMENTATION
380,"subscribe() doesn't actually ""ignore its emissions and notifications"" as documented",DOCUMENTATION
381,Document getting snapshots in the wiki,DOCUMENTATION
382,toSingle.png is missing,DOCUMENTATION
383,"Invalid marble diagram in javadoc for flatMap(collectionSelector, resultSelector)",DOCUMENTATION
384,Wiki page for RxJava Android Module is outdated,DOCUMENTATION
385,"JavaDoc for flatMapIterable(Func1, Func2) doesn't look right",DOCUMENTATION
386,Documentation: Observable contract,DOCUMENTATION
387,takeLast() javadoc suggestion,DOCUMENTATION
388,Confusing semantics between cache(int) and replay(int),DOCUMENTATION
389,Javadoc for cache suggests eager subscribe,DOCUMENTATION
390,RxJava + Reactive Streams,DOCUMENTATION
391,2.0 Design: ReactiveX Design Guidelines and Contract,DOCUMENTATION
392,Automate Publishing of Javadocs,DOCUMENTATION
393,License issue in CompositeException,DOCUMENTATION
394,"Copyright 2014 Netflix, Inc. -> 2015?",DOCUMENTATION
395,How to know when an Observable supports backpressure,DOCUMENTATION
396,Per version Javadoc seems to be not updated.,DOCUMENTATION
397,Custom Operator wiki article a little out of sync with practice,DOCUMENTATION
398,"diagrams in javadocs ""flattened"" in IntelliJ/IDEA",DOCUMENTATION
399,Improve error-handling documentation (EDGE-2051),DOCUMENTATION
400,"Move RxJava docs to ReactiveX, integrate with other ReactiveX docs (EDGE-2004)",DOCUMENTATION
401,Add to backpressure documentation (EDGE-1449),DOCUMENTATION
402,Give better guidance to developers who implement custom Observable operators (EDGE-1294),DOCUMENTATION
403,Add an operator-choosing decision tree to the documentation (EDGE-1838),DOCUMENTATION
404,Improve observeOn/subscribeOn docs (EDGE-1831),DOCUMENTATION
405,Create a complex problem-solving tutorial walk-through on the wiki (EDGE-1830),DOCUMENTATION
406,"Improve ""How to Use RxJava"" page (EDGE-1829)",DOCUMENTATION
407,Improve Lifecycle Docs,DOCUMENTATION
408,Zip all overloads,DOCUMENTATION
409,scan (all overloads),DOCUMENTATION
410,reduce (all overloads),DOCUMENTATION
411,publish,DOCUMENTATION
412,onBackpressureXXX,DOCUMENTATION
413,asObservable(),DOCUMENTATION
414,Javadoc Links to Rx.Net,DOCUMENTATION
415,Class Scheduler,DOCUMENTATION
416,Class TestSubscriber<T>,DOCUMENTATION
417,Class SerializedSubscriber<T>,DOCUMENTATION
418,Class SafeSubscriber<T>,DOCUMENTATION
419,Class Observers,DOCUMENTATION
420,"Class GroupedObservable<K,T>",DOCUMENTATION
421,Class BlockingObservable<T> doc comments,DOCUMENTATION
422,Funci,DOCUMENTATION
423,Actioni,DOCUMENTATION
424,Exception Doc Comments,DOCUMENTATION
425,Incorrect documentation of share,DOCUMENTATION
426,Javadocs for MissingBackpressureException,DOCUMENTATION
427,TestSubject event scheduling works differently than specified in its javadoc,DOCUMENTATION
428,Marble diagram wrong for publish(),DOCUMENTATION
429,flatMap marble diagram,DOCUMENTATION
430,Documentation lacks direct comparison of rx to futures and callbacks,DOCUMENTATION
431,Error Handling Documentation,DOCUMENTATION
432,Event Bus Documentation,DOCUMENTATION
433,Backpressure Docs,DOCUMENTATION
434,Missing javadoc comments for Subscriber.setProducer(),DOCUMENTATION
435,Missing javadoc comments for Producer.java,DOCUMENTATION
436,"Javadoc for Observable.multicast(subjectFactory,selector) needs improvement",DOCUMENTATION
437,Missing javadoc comments in Notification.java,DOCUMENTATION
438,Missing javadoc comments in exceptions/Exceptions.java,DOCUMENTATION
439,Javadocs: Disable or Make Work,DOCUMENTATION
440,Make operator parameter names consistent across operators.,DOCUMENTATION
441,Rx Design Guidelines,DOCUMENTATION
442,3.x: Add RxJavaPlugins.createExecutorScheduler,ENHANCEMENT
443,TestObserver error messages should include more information about values where possible,ENHANCEMENT
444,blockingForEach doesn't receive events from concatMapSingle,ENHANCEMENT
445,3.x: Add concatEagerDelayError across,ENHANCEMENT
446,3.x: Check Maybe/Single/Completable operators delegating to Flowable ops,ENHANCEMENT
447,3.x: Maybe.delay has no `delayError` option unlike `Single`,ENHANCEMENT
448,3.x: Missing operators (tracking issue),ENHANCEMENT
449,3.x: XProcessor.offer to throw NPE instead of signaling it,ENHANCEMENT
450,3.x: Add Flowable.blockingForEach overload with configurable prefetch,ENHANCEMENT
451,3.x: [Java 8] Add Disposables.toAutoCloseable,ENHANCEMENT
452,3.x: [Java 8] Add Disposables.fromAutoCloseable,ENHANCEMENT
453,3.x: [Java 8] Add FunctionalInterface annotations to our functional interfaces,ENHANCEMENT
454,3.x: improve combineLatest method names,ENHANCEMENT
455,Observable.using() disposes resource before upstream,ENHANCEMENT
